Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2022-08-24,BlacKkKlansman,2018,https://boxd.it/39WG1B,4,,,2022-06-17
2022-08-24,Tropic Thunder,2008,https://boxd.it/39WGMR,3,,,2022-08-15
2022-08-24,Full Metal Jacket,1987,https://boxd.it/39WGQJ,4.5,,,2022-08-15
2022-08-24,The Social Network,2010,https://boxd.it/39WGE9,4,,,2022-08-18
2022-08-24,Fantastic Mr. Fox,2009,https://boxd.it/39WGmJ,5,,,2022-08-19
2022-08-24,Logan,2017,https://boxd.it/39WGyb,4.5,,,2022-08-19
2022-08-24,Shutter Island,2010,https://boxd.it/39WG7p,4,,,2022-08-21
2022-08-24,The Godfather,1972,https://boxd.it/39WGaj,5,,,2022-08-22
2022-08-24,The Breakfast Club,1985,https://boxd.it/39WGtl,3.5,,,2022-08-22
2022-08-24,Princess Mononoke,1997,https://boxd.it/39WELR,5,,,2022-08-23
2022-08-24,The Godfather Part II,1974,https://boxd.it/39WGhz,4.5,,,2022-08-23
2022-08-24,Pulp Fiction,1994,https://boxd.it/3a5ZLr,4.5,,,2022-08-24
2022-09-28,Schindler's List,1993,https://boxd.it/3gArWB,5,,,2022-09-27
2022-11-04,Arrival,2016,https://boxd.it/3oz9wF,5,,,2022-11-04
2023-01-21,I Saw the Devil,2010,https://boxd.it/3JSIsZ,5,,,2023-01-21
2023-02-18,The Shining,1980,https://boxd.it/3S2gKt,4.5,,,2023-02-17
2023-02-18,Catch Me If You Can,2002,https://boxd.it/3S2har,4.5,,,2023-02-17
2023-02-20,The Truman Show,1998,https://boxd.it/3SOMU7,5,Yes,,2023-02-19
2023-02-25,Se7en,1995,https://boxd.it/3U5Uv3,4.5,,,2023-02-24
2023-02-25,Before Sunrise,1995,https://boxd.it/3Ubeaf,5,,,2023-02-25
2023-02-26,Before Sunset,2004,https://boxd.it/3UdEXr,5,,,2023-02-25
2023-02-27,Before Midnight,2013,https://boxd.it/3Uyjs5,4.5,,,2023-02-26
2023-03-04,Children of Men,2006,https://boxd.it/3W7k1t,4.5,,,2023-03-04
2023-03-06,Moonrise Kingdom,2012,https://boxd.it/3WrZfL,5,,,2023-03-05
2023-03-11,Mad Max: Fury Road,2015,https://boxd.it/3XSAtL,5,,,2023-03-10
2023-03-12,Puss in Boots: The Last Wish,2022,https://boxd.it/3Y38FL,4.5,,,2023-03-11
2023-04-28,John Wick: Chapter 4,2023,https://boxd.it/4aXQof,5,,,2023-03-30
2023-04-28,Aftersun,2022,https://boxd.it/4aXQN5,5,,,2023-04-22
2023-04-28,Evil Dead Rise,2023,https://boxd.it/4aXR5N,4,,,2023-04-24
2023-04-28,Alien,1979,https://boxd.it/4aXQ2N,4,,,2023-04-27
2023-04-28,Training Day,2001,https://boxd.it/4b4JUn,4.5,,,2023-04-28
2023-04-30,School of Rock,2003,https://boxd.it/4bzFPb,4,,,2023-04-29
2023-05-05,There Will Be Blood,2007,https://boxd.it/4d1NV7,4.5,,,2023-05-05
2023-05-22,One Flew Over the Cuckoo's Nest,1975,https://boxd.it/4h5wJn,4,,,2023-05-21
2023-06-11,The Favourite,2018,https://boxd.it/4mpHAV,4.5,,,2023-06-10
2023-06-11,The Hunt,2012,https://boxd.it/4mrREH,5,,,2023-06-10
2023-06-16,The Greatest Showman,2017,https://boxd.it/4nCSvn,3.5,,,2023-06-10
2023-06-17,In the Mood for Love,2000,https://boxd.it/4o3pLl,4.5,,,2023-06-16
2023-06-25,Signs,2002,https://boxd.it/4qjKLh,3,,,2023-06-24
2023-07-01,Tombstone,1993,https://boxd.it/4s3kKj,4,,,2023-06-30
2023-07-11,Insidious: The Red Door,2023,https://boxd.it/4v3JWL,2.5,,,2023-07-10
2023-07-12,Scarface,1983,https://boxd.it/4vlQr7,4,,,2023-07-11
2024-01-02,The Holdovers,2023,https://boxd.it/5tfrdd,5,,,2024-01-02
2024-01-03,Teenage Mutant Ninja Turtles: Mutant Mayhem,2023,https://boxd.it/5tVaOZ,4.5,,,2024-01-03
2024-01-04,The Boy and the Heron,2023,https://boxd.it/5ulvCH,5,,,2024-01-03
2024-01-04,Poor Things,2023,https://boxd.it/5utqwZ,5,,,2024-01-03
2024-01-06,Birdman or (The Unexpected Virtue of Ignorance),2014,https://boxd.it/5vJjPr,3.5,,,2024-01-05
2024-01-09,Paths of Glory,1957,https://boxd.it/5xmO2d,5,,,2024-01-07
2024-01-09,"Are You There God? It's Me, Margaret.",2023,https://boxd.it/5xU16j,4,,,2024-01-09
2024-01-10,The Iron Claw,2023,https://boxd.it/5ygZSr,4.5,,,2024-01-09
2024-01-11,Notting Hill,1999,https://boxd.it/5yFlkz,3.5,,,2024-01-10
2024-01-19,Shane Gillis: Beautiful Dogs,2023,https://boxd.it/5DbJNl,4,,,2024-01-11
2024-01-19,Mark Normand: Soup to Nuts,2023,https://boxd.it/5DbK9r,3,,,2024-01-15
2024-01-20,Anatomy of a Fall,2023,https://boxd.it/5DdH9d,5,,,2024-01-19
2024-01-23,Killers of the Flower Moon,2023,https://boxd.it/5FkFEv,4.5,,,2024-01-23
2024-03-01,Thanksgiving,2023,https://boxd.it/5WC171,3,,,2024-02-28
2024-03-02,Fallen Leaves,2023,https://boxd.it/5WXKPz,4,,,2024-02-28
2024-03-02,Society of the Snow,2023,https://boxd.it/5WXLyf,4,,,2024-03-01
