Letterboxd list export v7
Date,Name,Tags,URL,Description
2024-01-23,My Best of 2023,,https://boxd.it/smbO4,

Position,Name,Year,URL,Description
1,Past Lives,2023,https://boxd.it/oNB8,
2,Anatomy of a Fall,2023,https://boxd.it/yuDE,
3,The Holdovers,2023,https://boxd.it/vHza,
4,Poor Things,2023,https://boxd.it/tNWU,
5,May December,2023,https://boxd.it/vEE2,
6,Godzilla Minus One,2023,https://boxd.it/zu4c,
7,Oppenheimer,2023,https://boxd.it/wUow,
8,The Boy and the Heron,2023,https://boxd.it/ipeM,
9,The Killer,2023,https://boxd.it/u6WE,
10,Barbie,2023,https://boxd.it/bCLK,
