Letterboxd list export v7
Date,Name,Tags,URL,Description
2023-04-15,My Top Movies,,https://boxd.it/mjeac,

Position,Name,Year,URL,Description
1,Minari,2020,https://boxd.it/mL9M,
2,Before Sunset,2004,https://boxd.it/2bcg,
3,Jojo Rabbit,2019,https://boxd.it/iEBG,
4,Aftersun,2022,https://boxd.it/Arw0,
5,The Witch,2015,https://boxd.it/9X0m,
6,Fantastic Mr. Fox,2009,https://boxd.it/1WyQ,
7,Everything Everywhere All at Once,2022,https://boxd.it/jUk4,
8,Princess Mononoke,1997,https://boxd.it/2b4w,
9,The Northman,2022,https://boxd.it/nK2s,
10,Come and See,1985,https://boxd.it/1w9q,
11,Kung Fu Panda 2,2011,https://boxd.it/G36,
12,Blade Runner 2049,2017,https://boxd.it/b8wK,
13,Neon Genesis Evangelion: The End of Evangelion,1997,https://boxd.it/1GRM,
